country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,,,,,,,,,,,,,,,,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,,,,,,,,,,,,,,,,,0.68,0.61,0.74,1.47,0.72,0.68,0.36,0.33,0.37,0.6,2.24,2.61,0.14,0.13,0.13,0.43,0.45,0.5,0.41,0.43,0.18,0.1,0.09,0.08,0.03,0.04,0.03,0.02,0.01,0.02,0.13,0.08,0.21,0.24,0.21,0.21,0.21,0.17,0.16,0.13,0.16,0.16,0.15,0.17,0.14,0.13,0.13,0.1,0.09,0.09,0.09,0.05,0.04,0.03,0.03
Central African Republic,,,,,,,,,,,,,,0.18,1.11,2.28,1.81,1.16,1.14,1.31,1.33,1.02,0.32,0.22,0.22,0,0,0,0.04,0.29,0.16,0.3,0.27,1.66,1.81,0.5,0.16,0.12,0.09,0.15,0.42,0.64,1.43,1.5,1.03,1.09,1.11,1.21,1.35,1.53,1.38,1.43,1.2,0.67,0.63,0.33,0.22,0.2,0.62,0.49,0.41,0.35,0.35,0.17,0.16,0.25,0.21,0.14,0.14,0.18,0.18,0.2
Canada,1.2,1.07,0.72,0.49,0.33,0.11,0.28,0.27,0.27,0.27,0.24,0.07,0.06,0.05,0.05,0.05,0.05,0.09,0.09,0.09,0.08,0.09,0.06,0.05,0.07,0.12,0.12,0.13,0.24,0.38,0.39,0.43,0.48,0.44,0.36,0.38,0.4,0.43,0.5,0.56,0.61,0.65,0.64,0.64,0.52,0.47,0.42,0.4,0.41,0.51,0.56,0.58,0.55,0.53,0.52,0.54,0.65,0.69,0.69,0.64,0.6,0.57,0.52,0.47,0.44,0.34,0.43,0.52,0.53,0.51,0.51,0.33
Switzerland,0.21,0.2,0.19,0.19,0.18,0.41,0.4,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.34,0.35,0.35,0.43,0.49,0.5,0.48,0.56,0.55,0.55,0.55,0.56,0.48,0.48,0.48,0.51,0.63,0.52,0.5,0.48,0.47,0.48,0.48,0.48,0.55,0.61,0.67,0.76,0.82,1.08,1.18,1.19,1.17,1.15,1.15,1.18,1.16,1.13,1.02,0.9,0.84,0.81,0.75,0.83,0.82,0.79,0.85,0.91,0.92,1.02,1.28,1.35,1.38,1.4,1.42,1.42,1.45,1.38
Chile,,,,,,,,,,,,,,,,,,,0.07,0.06,0.07,0.07,0.09,0.04,0.03,0.04,0.05,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.06,1.6,2.43,2.41,2.63,2.61
China,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0.23,0,0.01,0,0,0,4.38,7,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,2.29,1.86,1.36,1.89,2.61,2.08,2.21,1.36,0.95,0.85,0.73,0.75,0.26,0.43,0.4,0.23,0.15,0.13,0.12,0.12,0.13,0.12,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
