country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chile,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.13,0.14,0.02,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0,0.01,0.11,0.1,0.1,0.11,0.11,0.1,0.09,0.07,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.05,0.06
China,,,,,,,,,,,,,,0.17,0.18,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.14,0.2,0.15,0.13,0.17,0.15,0.14,0.14,0.23,0.8,0.51,0.43,0.37,0.36,0.27,0.27,0.24,0.23,0.27,0.26,0.18
Cameroon,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.05,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.08,0.09,0.15,0.25,0.34,0.38,0.54,0.57
"Congo, Dem. Rep.",,,,,,,,,,0,0,0,0,0.35,0.27,0.42,0.42,0.35,0.28,0.26,0.21,0.21,0.2,0.18,0.17,0.19,1.09,0.61,0.27,0.44,0.43,0.33,0.35,0.32,0.28,0.3,0.21,0.31,0.29,0.19,0.18,0.21,0.19,0.18,0.21,0.36,0.39,0.35,0.54,0.81,0.84,0.9,0.95,0.94,0.86,0.74,0.67,0.65,0.76,0.78,0.79,0.8,0.77,0.77,0.79,0.76,0.9,0.98,1.05,1.06,1.1,1.06
"Congo, Rep.",,,,,,,,,,,,,,,,,0.07,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.74,0.58,0.9,1.01,0.88,1.05,1.05,1,0.89,0.67,0.65,0.61,0.56,0.53,0.32,0.31,0.31,0.36,0.37,0.34,0.5,0.46,0.43,0.45,0.46,0.45
Colombia,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0.08,0.13,0.15,0.17,0.19,0.22,1.37,0.97,1.02,1.02,0.97,0.9,0.89,0.78,0.74,0.68,0.46,0.37,0.53,0.51,0.38,0.42
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.02,0.1,0.1,0.01,0.02,0.07,0.04,0.06,0.07,0.07,0.12,0.13,0.11,0.11,0.12,0.14,0.27,0.43,0.43,0.38
Cape Verde,,,,,,,,,,,,,,,,0.12,0.12,0.16,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.05,0.05,0.05
Costa Rica,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.02,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
